frame.number,frame.time_epoch,tcp.srcport,tcp.dstport
"104","1512236657.264531000","8081","58220"
"105","1512236657.265067000","8081","58220"
"106","1512236657.510265000","58220","8081"
"107","1512236657.511830000","58220","8081"
"108","1512236657.515129000","58220","8081"
"109","1512236657.515408000","58220","8081"
"110","1512236657.539818000","8081","58220"
"111","1512236657.540188000","8081","58220"
"112","1512236657.730753000","58220","8081"
"113","1512236657.731405000","8081","58220"
"114","1512236657.732436000","58220","8081"
"115","1512236657.733043000","8081","58220"
"116","1512236657.798420000","58220","8081"
"117","1512236657.983674000","58220","8081"
"118","1512236657.987817000","58220","8081"
"119","1512236658.172399000","8081","58220"
"120","1512236658.417682000","58220","8081"
"121","1512236658.418796000","58220","8081"
"122","1512236658.448451000","8081","58220"
"123","1512236658.448825000","8081","58220"
"124","1512236658.670488000","58220","8081"
"125","1512236658.670644000","58220","8081"
"126","1512236658.670855000","8081","58220"
"127","1512236658.671102000","8081","58220"
"128","1512236658.908194000","58220","8081"
"129","1512236658.908482000","58220","8081"
"130","1512236658.908774000","8081","58220"
"131","1512236658.939514000","58220","8081"
"132","1512236659.115377000","58220","8081"
"133","1512236659.118859000","58220","8081"
"134","1512236659.149652000","8081","58220"
"135","1512236659.149725000","8081","58220"
"136","1512236659.368568000","58220","8081"
"137","1512236659.368693000","58220","8081"
"138","1512236659.370857000","8081","58220"
"139","1512236659.370866000","8081","58220"
"140","1512236659.419424000","58220","8081"
"141","1512236659.596460000","58220","8081"
"142","1512236659.596585000","58220","8081"
"143","1512236659.596703000","58220","8081"
"144","1512236660.032437000","8081","58220"
"145","1512236660.268037000","58220","8081"
"146","1512236660.467906000","8081","58220"
"147","1512236660.697435000","58220","8081"
"148","1512236660.705725000","58220","8081"
"149","1512236660.743658000","8081","58220"
"150","1512236660.745670000","8081","58220"
"151","1512236660.745739000","8081","58220"
"152","1512236660.983819000","58220","8081"
"153","1512236660.984145000","8081","58220"
"154","1512236661.021899000","58220","8081"
"155","1512236661.022271000","8081","58220"
"156","1512236661.213572000","58220","8081"
"157","1512236661.214059000","8081","58220"
"158","1512236661.220901000","58220","8081"
"159","1512236661.221712000","8081","58220"
"160","1512236661.245414000","58220","8081"
"161","1512236661.245915000","8081","58220"
"162","1512236661.247184000","58220","8081"
"163","1512236661.502297000","58220","8081"
"164","1512236661.520679000","58220","8081"
"165","1512236661.665310000","8081","58220"
"166","1512236661.910745000","58220","8081"
"167","1512236661.911187000","58220","8081"
"168","1512236661.911929000","8081","58220"
"169","1512236661.943512000","8081","58220"
"170","1512236661.943685000","8081","58220"
"171","1512236662.165489000","58220","8081"
"172","1512236662.165898000","8081","58220"
"173","1512236662.370190000","58220","8081"
"174","1512236662.370685000","8081","58220"
"175","1512236662.370774000","8081","58220"
"176","1512236662.603197000","58220","8081"
"177","1512236662.603314000","58220","8081"
"178","1512236662.603838000","8081","58220"
"179","1512236662.790910000","58220","8081"
"180","1512236662.792886000","58220","8081"
"181","1512236662.823424000","8081","58220"
"182","1512236662.823680000","8081","58220"
"183","1512236663.022312000","58220","8081"
"184","1512236663.022720000","8081","58220"
"185","1512236663.022798000","58220","8081"
"186","1512236663.023084000","8081","58220"
"187","1512236663.233342000","58220","8081"
"188","1512236663.233703000","8081","58220"
"189","1512236663.237517000","58220","8081"
"190","1512236663.435141000","58220","8081"
"191","1512236663.437139000","58220","8081"
"192","1512236663.475701000","8081","58220"
"193","1512236663.493926000","8081","58220"
"194","1512236663.494243000","8081","58220"
"195","1512236663.685075000","58220","8081"
"196","1512236663.685532000","58220","8081"
"197","1512236663.685695000","8081","58220"
"198","1512236663.685978000","8081","58220"
"199","1512236663.939793000","58220","8081"
"200","1512236663.939921000","58220","8081"
"201","1512236663.939965000","58220","8081"
"202","1512236664.104829000","8081","58220"
"203","1512236664.294134000","58220","8081"
"204","1512236664.294250000","58220","8081"
"205","1512236664.295189000","8081","58220"
"206","1512236664.369512000","8081","58220"
"207","1512236664.375783000","8081","58220"
"208","1512236664.579241000","58220","8081"
"209","1512236664.579295000","58220","8081"
"210","1512236664.579594000","8081","58220"
"211","1512236664.579708000","8081","58220"
"212","1512236664.762057000","58220","8081"
"213","1512236664.762630000","58220","8081"
"214","1512236664.762815000","8081","58220"
"215","1512236665.008176000","58220","8081"
"216","1512236665.008216000","58220","8081"
"217","1512236665.008497000","8081","58220"
"218","1512236665.041205000","8081","58220"
"219","1512236665.041582000","8081","58220"
"220","1512236665.277863000","58220","8081"
"221","1512236665.277985000","58220","8081"
"222","1512236665.278080000","58220","8081"
"223","1512236665.278201000","58220","8081"
"224","1512236665.278609000","8081","58220"
"225","1512236665.278640000","8081","58220"
"226","1512236665.278684000","8081","58220"
"227","1512236665.512608000","58220","8081"
"228","1512236665.512897000","58220","8081"
"229","1512236665.513005000","8081","58220"
"230","1512236665.513046000","58220","8081"
"231","1512236665.513430000","8081","58220"
"232","1512236665.759395000","58220","8081"
"233","1512236665.760053000","58220","8081"
"234","1512236665.760258000","58220","8081"
"235","1512236665.762502000","58220","8081"
"236","1512236665.795555000","8081","58220"
"237","1512236665.795831000","8081","58220"
"238","1512236666.016528000","58220","8081"
"239","1512236666.016850000","58220","8081"
"240","1512236666.017126000","8081","58220"
"241","1512236666.017282000","8081","58220"
"242","1512236666.285333000","58220","8081"
"243","1512236666.285416000","58220","8081"
"244","1512236666.287095000","58220","8081"
"245","1512236666.309537000","8081","58220"
"246","1512236666.310278000","8081","58220"
"247","1512236666.553790000","58220","8081"
"248","1512236666.553983000","58220","8081"
"249","1512236666.554278000","8081","58220"
"250","1512236666.554435000","8081","58220"
"251","1512236666.770487000","58220","8081"
"252","1512236666.770619000","58220","8081"
"253","1512236666.779160000","58220","8081"
"254","1512236666.813956000","8081","58220"
"255","1512236666.814317000","8081","58220"
"256","1512236667.032178000","58220","8081"
"257","1512236667.032305000","58220","8081"
"258","1512236667.032424000","58220","8081"
"259","1512236667.032591000","8081","58220"
"260","1512236667.032845000","8081","58220"
"261","1512236667.034235000","58220","8081"
"262","1512236667.034316000","58220","8081"
"263","1512236667.034680000","8081","58220"
"264","1512236667.035053000","8081","58220"
"265","1512236667.254083000","58220","8081"
"266","1512236667.254628000","8081","58220"
"267","1512236667.477311000","58220","8081"
"268","1512236667.477721000","8081","58220"
"269","1512236667.477872000","8081","58220"
"270","1512236667.700847000","58220","8081"
"271","1512236667.700927000","58220","8081"
"272","1512236667.701305000","8081","58220"
"273","1512236667.958556000","58220","8081"
"274","1512236667.959744000","58220","8081"
"275","1512236668.000135000","8081","58220"
"276","1512236668.064167000","8081","58220"
"277","1512236668.064584000","8081","58220"
"278","1512236668.289919000","58220","8081"
"279","1512236668.290451000","8081","58220"
"280","1512236668.321936000","58220","8081"
"281","1512236668.322302000","8081","58220"
"282","1512236668.476031000","58220","8081"
"283","1512236668.476463000","8081","58220"
"284","1512236668.477995000","58220","8081"
"285","1512236668.478429000","8081","58220"
"286","1512236668.523829000","58220","8081"
"287","1512236668.524389000","8081","58220"
"288","1512236668.698741000","58220","8081"
"289","1512236668.699144000","8081","58220"
"290","1512236668.708151000","58220","8081"
"291","1512236668.745962000","58220","8081"
"292","1512236668.927078000","58220","8081"
"293","1512236668.928539000","58220","8081"
"294","1512236668.928922000","8081","58220"
"295","1512236668.973223000","8081","58220"
"296","1512236668.973397000","8081","58220"
"297","1512236669.211740000","58220","8081"
"298","1512236669.211829000","58220","8081"
"299","1512236669.212306000","8081","58220"
"300","1512236669.212443000","8081","58220"
"301","1512236669.417373000","58220","8081"
"302","1512236669.417495000","58220","8081"
"303","1512236669.417813000","8081","58220"
"304","1512236669.673727000","58220","8081"
"305","1512236669.675320000","58220","8081"
"306","1512236669.675765000","8081","58220"
"307","1512236669.710605000","8081","58220"
"308","1512236669.710652000","8081","58220"
"309","1512236669.950377000","58220","8081"
"310","1512236669.950460000","58220","8081"
"311","1512236669.950824000","8081","58220"
"312","1512236670.190619000","58220","8081"
"313","1512236670.190710000","58220","8081"
"314","1512236670.194998000","58220","8081"
"315","1512236670.236781000","8081","58220"
"316","1512236670.238214000","8081","58220"
"317","1512236670.238489000","8081","58220"
"318","1512236670.238703000","8081","58220"
"319","1512236670.489757000","58220","8081"
"320","1512236670.489964000","58220","8081"
"321","1512236670.490080000","58220","8081"
"322","1512236670.490808000","8081","58220"
"323","1512236670.741275000","58220","8081"
"324","1512236670.743552000","58220","8081"
"325","1512236670.748917000","58220","8081"
"326","1512236670.749551000","8081","58220"
"327","1512236670.799853000","8081","58220"
"328","1512236670.800102000","8081","58220"
"329","1512236670.800305000","8081","58220"
"330","1512236671.050796000","58220","8081"
"331","1512236671.050951000","58220","8081"
"332","1512236671.051357000","8081","58220"
"333","1512236671.240118000","8081","58220"
"334","1512236671.284861000","58220","8081"
"335","1512236671.285362000","8081","58220"
"336","1512236671.470189000","58220","8081"
"337","1512236671.473534000","8081","58220"
"338","1512236671.527665000","58220","8081"
"339","1512236671.528070000","8081","58220"
"340","1512236671.528145000","8081","58220"
"341","1512236671.670747000","58220","8081"
"342","1512236671.671040000","8081","58220"
"343","1512236671.674295000","58220","8081"
"344","1512236671.737097000","58220","8081"
"345","1512236671.737152000","58220","8081"
"346","1512236671.874576000","58220","8081"
"347","1512236671.875346000","58220","8081"
"348","1512236671.876079000","8081","58220"
"349","1512236671.953654000","8081","58220"
"350","1512236671.954130000","8081","58220"
"351","1512236672.187104000","58220","8081"
"352","1512236672.187601000","8081","58220"
"353","1512236672.188590000","58220","8081"
"354","1512236672.189165000","8081","58220"
"355","1512236672.387517000","58220","8081"
"356","1512236672.387805000","58220","8081"
"357","1512236672.389073000","58220","8081"
"358","1512236672.389360000","8081","58220"
"359","1512236672.419683000","8081","58220"
"360","1512236672.419890000","8081","58220"
"361","1512236672.420106000","8081","58220"
"362","1512236672.645474000","58220","8081"
"363","1512236672.646266000","8081","58220"
"364","1512236672.649030000","58220","8081"
"365","1512236672.649660000","8081","58220"
"366","1512236672.650386000","58220","8081"
"367","1512236672.846367000","58220","8081"
"368","1512236672.847270000","58220","8081"
"369","1512236672.850745000","58220","8081"
"370","1512236672.888264000","8081","58220"
"371","1512236672.909699000","8081","58220"
"372","1512236672.909859000","8081","58220"
"373","1512236672.910069000","8081","58220"
"374","1512236673.106044000","58220","8081"
"375","1512236673.106576000","8081","58220"
"376","1512236673.107193000","58220","8081"
"377","1512236673.107552000","8081","58220"
"378","1512236673.311771000","58220","8081"
"379","1512236673.311857000","58220","8081"
"380","1512236673.312288000","8081","58220"
"381","1512236673.354880000","8081","58220"
"382","1512236673.355291000","8081","58220"
"383","1512236673.355705000","8081","58220"
"384","1512236673.566100000","58220","8081"
"385","1512236673.566113000","58220","8081"
"386","1512236673.566416000","8081","58220"
"387","1512236673.566580000","8081","58220"
"388","1512236673.566647000","58220","8081"
"389","1512236673.602769000","58220","8081"
"390","1512236673.762094000","58220","8081"
"391","1512236673.762413000","58220","8081"
"392","1512236673.762547000","58220","8081"
"393","1512236673.762954000","8081","58220"
"394","1512236673.831928000","8081","58220"
"395","1512236673.832569000","8081","58220"
"396","1512236673.832993000","8081","58220"
"397","1512236674.044671000","58220","8081"
"398","1512236674.045154000","8081","58220"
"399","1512236674.046303000","58220","8081"
"400","1512236674.046423000","58220","8081"
"401","1512236674.046672000","8081","58220"
"402","1512236674.089684000","58220","8081"
"403","1512236674.247069000","58220","8081"
"404","1512236674.247198000","58220","8081"
"405","1512236674.251691000","58220","8081"
"406","1512236674.252025000","8081","58220"
"407","1512236674.270717000","8081","58220"
"408","1512236674.270771000","8081","58220"
"409","1512236674.474819000","58220","8081"
"410","1512236674.475690000","58220","8081"
"411","1512236674.476061000","58220","8081"
"412","1512236674.476689000","8081","58220"
"413","1512236674.479253000","8081","58220"
"414","1512236674.509425000","58220","8081"
"415","1512236674.671662000","58220","8081"
"416","1512236674.673886000","58220","8081"
"417","1512236674.677117000","58220","8081"
"418","1512236674.716025000","8081","58220"
"419","1512236674.848175000","8081","58220"
"420","1512236674.848514000","8081","58220"
"421","1512236674.848923000","8081","58220"
"422","1512236675.064753000","58220","8081"
"423","1512236675.065361000","8081","58220"
"424","1512236675.065364000","58220","8081"
"425","1512236675.070080000","58220","8081"
"426","1512236675.108653000","58220","8081"
"427","1512236675.249520000","58220","8081"
"428","1512236675.252064000","58220","8081"
"429","1512236675.252901000","8081","58220"
"430","1512236675.373317000","8081","58220"
"431","1512236675.373485000","8081","58220"
"432","1512236675.600011000","58220","8081"
"433","1512236675.600062000","58220","8081"
"434","1512236675.600394000","8081","58220"
"435","1512236675.813424000","58220","8081"
"436","1512236675.813942000","8081","58220"
"437","1512236675.921813000","8081","58220"
"438","1512236675.932846000","8081","58220"
"439","1512236675.933137000","8081","58220"
"440","1512236676.124826000","58220","8081"
"441","1512236676.124994000","58220","8081"
"442","1512236676.125381000","8081","58220"
"443","1512236676.125842000","58220","8081"
"444","1512236676.125970000","58220","8081"
"445","1512236676.161907000","58220","8081"
"446","1512236676.329638000","58220","8081"
"447","1512236676.330046000","8081","58220"
"448","1512236676.352147000","8081","58220"
"449","1512236676.352525000","8081","58220"
"450","1512236676.587619000","58220","8081"
"451","1512236676.588433000","58220","8081"
"452","1512236676.609038000","58220","8081"
"453","1512236676.609410000","58220","8081"
"454","1512236676.631497000","8081","58220"
"455","1512236676.631741000","8081","58220"
"456","1512236676.631987000","8081","58220"
"457","1512236676.869241000","58220","8081"
"458","1512236676.873936000","58220","8081"
"459","1512236676.874027000","58220","8081"
"460","1512236676.875086000","58220","8081"
"461","1512236676.900638000","8081","58220"
"462","1512236676.900798000","8081","58220"
"463","1512236677.108355000","58220","8081"
"464","1512236677.108769000","58220","8081"
"465","1512236677.109013000","58220","8081"
"466","1512236677.109083000","58220","8081"
"467","1512236677.109863000","58220","8081"
"468","1512236677.114130000","58220","8081"
"469","1512236677.152238000","8081","58220"
"470","1512236677.176178000","8081","58220"
"471","1512236677.176269000","8081","58220"
"472","1512236677.176632000","8081","58220"
"473","1512236677.176670000","8081","58220"
"474","1512236677.358900000","58220","8081"
"475","1512236677.359711000","58220","8081"
"476","1512236677.360135000","58220","8081"
"477","1512236677.360453000","58220","8081"
"478","1512236677.363273000","58220","8081"
"479","1512236677.363771000","8081","58220"
"480","1512236677.430513000","8081","58220"
"481","1512236677.430559000","8081","58220"
"482","1512236677.430691000","8081","58220"
"483","1512236677.662744000","58220","8081"
"484","1512236677.662816000","58220","8081"
"485","1512236677.671162000","58220","8081"
"486","1512236677.671243000","58220","8081"
"487","1512236677.676944000","58220","8081"
"488","1512236677.678282000","8081","58220"
"489","1512236677.715086000","8081","58220"
"490","1512236677.715417000","8081","58220"
"491","1512236677.715496000","8081","58220"
"492","1512236677.907918000","58220","8081"
"493","1512236677.914908000","58220","8081"
"494","1512236677.915046000","58220","8081"
"495","1512236677.915123000","58220","8081"
"496","1512236677.915200000","58220","8081"
"497","1512236677.915410000","58220","8081"
"498","1512236677.947939000","8081","58220"
"499","1512236677.948315000","8081","58220"
"500","1512236678.204305000","58220","8081"
"501","1512236678.208232000","58220","8081"
"502","1512236678.209289000","58220","8081"
"503","1512236678.209339000","58220","8081"
"504","1512236678.209418000","58220","8081"
"505","1512236678.209492000","58220","8081"
"506","1512236678.209536000","58220","8081"
"507","1512236678.209790000","8081","58220"
"508","1512236678.394302000","58220","8081"
"509","1512236678.394668000","58220","8081"
"510","1512236678.403223000","58220","8081"
"511","1512236678.432758000","8081","58220"
"512","1512236678.433122000","8081","58220"
"513","1512236678.660947000","58220","8081"
"514","1512236678.661481000","58220","8081"
"515","1512236678.661689000","8081","58220"
"516","1512236678.661809000","8081","58220"
"517","1512236678.661927000","58220","8081"
"518","1512236678.865042000","58220","8081"
"519","1512236678.866848000","58220","8081"
"520","1512236678.903597000","8081","58220"
"521","1512236678.903961000","8081","58220"
"522","1512236678.904051000","8081","58220"
"523","1512236679.103834000","58220","8081"
"524","1512236679.103916000","58220","8081"
"525","1512236679.104460000","8081","58220"
"526","1512236679.104495000","58220","8081"
"527","1512236679.104660000","58220","8081"
"528","1512236679.289092000","58220","8081"
"529","1512236679.291583000","58220","8081"
"530","1512236679.333237000","8081","58220"
"531","1512236679.352088000","8081","58220"
"532","1512236679.352248000","8081","58220"
"533","1512236679.352578000","8081","58220"
"534","1512236679.540561000","58220","8081"
"535","1512236679.541003000","8081","58220"
"536","1512236679.542078000","58220","8081"
"537","1512236679.544579000","58220","8081"
"538","1512236679.544622000","58220","8081"
"539","1512236679.585979000","58220","8081"
"540","1512236679.758179000","58220","8081"
"541","1512236679.759859000","58220","8081"
"542","1512236679.760263000","8081","58220"
"543","1512236679.789837000","8081","58220"
"544","1512236679.790402000","8081","58220"
"545","1512236679.790734000","8081","58220"
"546","1512236679.977811000","58220","8081"
"547","1512236679.978951000","58220","8081"
"548","1512236679.981615000","58220","8081"
"549","1512236680.020289000","8081","58220"
"550","1512236680.024462000","8081","58220"
"551","1512236680.025309000","8081","58220"
"552","1512236680.213663000","58220","8081"
"553","1512236680.214093000","58220","8081"
"554","1512236680.215404000","58220","8081"
"555","1512236680.215767000","58220","8081"
"556","1512236680.222049000","58220","8081"
"557","1512236680.222463000","58220","8081"
"558","1512236680.222960000","8081","58220"
"559","1512236680.254036000","8081","58220"
"560","1512236680.254201000","8081","58220"
"561","1512236680.254486000","8081","58220"
"562","1512236680.254688000","8081","58220"
"563","1512236680.452607000","58220","8081"
"564","1512236680.452690000","58220","8081"
"565","1512236680.453051000","58220","8081"
"566","1512236680.453132000","58220","8081"
"567","1512236680.453178000","58220","8081"
"568","1512236680.453578000","58220","8081"
"569","1512236680.491192000","8081","58220"
"570","1512236680.491478000","8081","58220"
"571","1512236680.491723000","8081","58220"
"572","1512236680.491932000","8081","58220"
"573","1512236680.716030000","58220","8081"
"574","1512236680.722335000","58220","8081"
"575","1512236680.722409000","58220","8081"
"576","1512236680.722736000","58220","8081"
"577","1512236680.722786000","58220","8081"
"578","1512236680.725527000","58220","8081"
"579","1512236680.749141000","8081","58220"
"580","1512236680.749580000","8081","58220"
"581","1512236680.749797000","8081","58220"
"582","1512236681.018439000","58220","8081"
"583","1512236681.018517000","58220","8081"
"584","1512236681.018562000","58220","8081"
"585","1512236681.445393000","8081","58220"
"586","1512236681.635319000","58220","8081"
"587","1512236681.635994000","8081","58220"
"588","1512236681.825689000","58220","8081"
"589","1512236681.826389000","8081","58220"
"590","1512236681.827036000","8081","58220"
"591","1512236682.032147000","58220","8081"
"592","1512236682.032199000","58220","8081"
"593","1512236682.032646000","8081","58220"
"594","1512236682.239187000","58220","8081"
"595","1512236682.244137000","58220","8081"
"596","1512236682.285115000","8081","58220"
"597","1512236682.394294000","8081","58220"
"598","1512236682.394459000","8081","58220"
"599","1512236682.394580000","8081","58220"
"600","1512236682.592170000","58220","8081"
"601","1512236682.592781000","8081","58220"
"602","1512236682.595108000","58220","8081"
"603","1512236682.595659000","8081","58220"
"604","1512236682.597471000","58220","8081"
"605","1512236682.639320000","58220","8081"
"606","1512236682.801731000","58220","8081"
"607","1512236682.802003000","58220","8081"
"608","1512236682.812400000","58220","8081"
"609","1512236682.812605000","58220","8081"
"610","1512236682.813289000","8081","58220"
"611","1512236683.080994000","8081","58220"
"612","1512236683.081274000","8081","58220"
"613","1512236683.276101000","58220","8081"
"614","1512236683.276224000","58220","8081"
"615","1512236683.276340000","58220","8081"
"616","1512236683.276633000","8081","58220"
"617","1512236683.276947000","8081","58220"
"618","1512236683.311546000","58220","8081"
"619","1512236683.481242000","58220","8081"
"620","1512236683.481483000","58220","8081"
"621","1512236683.481696000","58220","8081"
"622","1512236683.483706000","58220","8081"
"623","1512236683.484226000","8081","58220"
"624","1512236683.589797000","8081","58220"
"625","1512236683.590040000","8081","58220"
"626","1512236683.590325000","8081","58220"
"627","1512236683.847038000","58220","8081"
"628","1512236683.847599000","8081","58220"
"629","1512236683.848875000","58220","8081"
"630","1512236683.853658000","58220","8081"
"631","1512236684.068060000","58220","8081"
"632","1512236684.068314000","58220","8081"
"633","1512236684.068924000","8081","58220"
"634","1512236684.132436000","8081","58220"
"635","1512236684.132838000","8081","58220"
"636","1512236684.133118000","8081","58220"
"637","1512236684.356461000","58220","8081"
"638","1512236684.357033000","8081","58220"
"639","1512236684.357437000","58220","8081"
"640","1512236684.357564000","58220","8081"
"641","1512236684.357686000","58220","8081"
"642","1512236684.576927000","58220","8081"
"643","1512236684.577670000","8081","58220"
"644","1512236684.792398000","8081","58220"
"645","1512236684.792605000","8081","58220"
"646","1512236684.792974000","8081","58220"
"647","1512236685.010517000","58220","8081"
"648","1512236685.010922000","58220","8081"
"649","1512236685.011266000","8081","58220"
"650","1512236685.013092000","58220","8081"
"651","1512236685.202760000","58220","8081"
"652","1512236685.215767000","8081","58220"
"653","1512236685.498032000","58220","8081"
"654","1512236685.498559000","8081","58220"
"655","1512236685.726240000","58220","8081"
"656","1512236685.736073000","58220","8081"
"657","1512236685.736490000","8081","58220"
"658","1512236685.825467000","8081","58220"
"659","1512236685.825549000","8081","58220"
"660","1512236685.825755000","8081","58220"
"661","1512236686.070161000","58220","8081"
"662","1512236686.070632000","8081","58220"
"663","1512236686.071804000","58220","8081"
"664","1512236686.072143000","8081","58220"
"665","1512236686.072316000","8081","58220"
"666","1512236686.104865000","58220","8081"
"667","1512236686.317945000","58220","8081"
"668","1512236686.323060000","58220","8081"
"669","1512236686.352437000","58220","8081"
"670","1512236686.352612000","58220","8081"
"671","1512236686.353587000","58220","8081"
"672","1512236686.357547000","58220","8081"
"673","1512236686.359639000","8081","58220"
"674","1512236686.441678000","8081","58220"
"675","1512236686.441894000","8081","58220"
"676","1512236686.442216000","8081","58220"
"677","1512236686.634632000","58220","8081"
"678","1512236686.634713000","58220","8081"
"679","1512236686.635600000","8081","58220"
"680","1512236686.635766000","8081","58220"
"681","1512236686.829521000","58220","8081"
"682","1512236686.829637000","58220","8081"
"683","1512236686.831534000","58220","8081"
"684","1512236686.832046000","8081","58220"
"685","1512236686.899809000","8081","58220"
"686","1512236686.901967000","8081","58220"
"687","1512236687.089454000","58220","8081"
"688","1512236687.089535000","58220","8081"
"689","1512236687.089585000","58220","8081"
"690","1512236687.089877000","8081","58220"
"691","1512236687.090281000","8081","58220"
"692","1512236687.272919000","58220","8081"
"693","1512236687.272998000","58220","8081"
"694","1512236687.278891000","58220","8081"
"695","1512236687.279505000","8081","58220"
"696","1512236687.299086000","8081","58220"
"697","1512236687.299320000","8081","58220"
"698","1512236687.299361000","8081","58220"
"699","1512236687.483537000","58220","8081"
"700","1512236687.483733000","58220","8081"
"701","1512236687.483818000","58220","8081"
"702","1512236687.484071000","8081","58220"
"703","1512236687.524672000","58220","8081"
"704","1512236687.669907000","58220","8081"
"705","1512236687.672404000","58220","8081"
"706","1512236687.707527000","8081","58220"
"707","1512236687.898694000","8081","58220"
"708","1512236687.898984000","8081","58220"
"709","1512236688.119288000","58220","8081"
"710","1512236688.119413000","58220","8081"
"711","1512236688.119785000","8081","58220"
"712","1512236688.341972000","58220","8081"
"713","1512236688.342049000","58220","8081"
"714","1512236688.342294000","8081","58220"
"715","1512236688.401294000","8081","58220"
"716","1512236688.401497000","8081","58220"
"717","1512236688.401773000","8081","58220"
"718","1512236688.602075000","58220","8081"
"719","1512236688.602510000","8081","58220"
"720","1512236688.602979000","58220","8081"
"721","1512236688.603050000","58220","8081"
"722","1512236688.603095000","58220","8081"
"723","1512236688.647546000","58220","8081"
"724","1512236688.806058000","58220","8081"
"725","1512236688.812453000","58220","8081"
"726","1512236688.812898000","8081","58220"
"727","1512236688.961348000","8081","58220"
"728","1512236689.010197000","8081","58220"
"729","1512236689.010612000","8081","58220"
"730","1512236689.199069000","58220","8081"
"731","1512236689.199495000","8081","58220"
"732","1512236689.199761000","58220","8081"
"733","1512236689.199840000","58220","8081"
