frame.number,frame.time,tcp.srcport,tcp.dstport,nbns.flags.rcode
"158","Dec  2, 2017 12:44:21.220901000 Eastern Standard Time","58220","8081",
"159","Dec  2, 2017 12:44:21.221712000 Eastern Standard Time","8081","58220",
"160","Dec  2, 2017 12:44:21.245414000 Eastern Standard Time","58220","8081",
"161","Dec  2, 2017 12:44:21.245915000 Eastern Standard Time","8081","58220",
"162","Dec  2, 2017 12:44:21.247184000 Eastern Standard Time","58220","8081",
"163","Dec  2, 2017 12:44:21.502297000 Eastern Standard Time","58220","8081",
"164","Dec  2, 2017 12:44:21.520679000 Eastern Standard Time","58220","8081",
"165","Dec  2, 2017 12:44:21.665310000 Eastern Standard Time","8081","58220",
"166","Dec  2, 2017 12:44:21.910745000 Eastern Standard Time","58220","8081",
"167","Dec  2, 2017 12:44:21.911187000 Eastern Standard Time","58220","8081",
"168","Dec  2, 2017 12:44:21.911929000 Eastern Standard Time","8081","58220",
"169","Dec  2, 2017 12:44:21.943512000 Eastern Standard Time","8081","58220",
"170","Dec  2, 2017 12:44:21.943685000 Eastern Standard Time","8081","58220",
"171","Dec  2, 2017 12:44:22.165489000 Eastern Standard Time","58220","8081",
"172","Dec  2, 2017 12:44:22.165898000 Eastern Standard Time","8081","58220",
"173","Dec  2, 2017 12:44:22.370190000 Eastern Standard Time","58220","8081",
"174","Dec  2, 2017 12:44:22.370685000 Eastern Standard Time","8081","58220",
"175","Dec  2, 2017 12:44:22.370774000 Eastern Standard Time","8081","58220",
"176","Dec  2, 2017 12:44:22.603197000 Eastern Standard Time","58220","8081",
"177","Dec  2, 2017 12:44:22.603314000 Eastern Standard Time","58220","8081",
"178","Dec  2, 2017 12:44:22.603838000 Eastern Standard Time","8081","58220",
"179","Dec  2, 2017 12:44:22.790910000 Eastern Standard Time","58220","8081",
"180","Dec  2, 2017 12:44:22.792886000 Eastern Standard Time","58220","8081",
"181","Dec  2, 2017 12:44:22.823424000 Eastern Standard Time","8081","58220",
"182","Dec  2, 2017 12:44:22.823680000 Eastern Standard Time","8081","58220",
"183","Dec  2, 2017 12:44:23.022312000 Eastern Standard Time","58220","8081",
"184","Dec  2, 2017 12:44:23.022720000 Eastern Standard Time","8081","58220",
"185","Dec  2, 2017 12:44:23.022798000 Eastern Standard Time","58220","8081",
"186","Dec  2, 2017 12:44:23.023084000 Eastern Standard Time","8081","58220",
"187","Dec  2, 2017 12:44:23.233342000 Eastern Standard Time","58220","8081",
"188","Dec  2, 2017 12:44:23.233703000 Eastern Standard Time","8081","58220",
"189","Dec  2, 2017 12:44:23.237517000 Eastern Standard Time","58220","8081",
"190","Dec  2, 2017 12:44:23.435141000 Eastern Standard Time","58220","8081",
"191","Dec  2, 2017 12:44:23.437139000 Eastern Standard Time","58220","8081",
"192","Dec  2, 2017 12:44:23.475701000 Eastern Standard Time","8081","58220",
"193","Dec  2, 2017 12:44:23.493926000 Eastern Standard Time","8081","58220",
"194","Dec  2, 2017 12:44:23.494243000 Eastern Standard Time","8081","58220",
"195","Dec  2, 2017 12:44:23.685075000 Eastern Standard Time","58220","8081",
"196","Dec  2, 2017 12:44:23.685532000 Eastern Standard Time","58220","8081",
"197","Dec  2, 2017 12:44:23.685695000 Eastern Standard Time","8081","58220",
"198","Dec  2, 2017 12:44:23.685978000 Eastern Standard Time","8081","58220",
"199","Dec  2, 2017 12:44:23.939793000 Eastern Standard Time","58220","8081",
"200","Dec  2, 2017 12:44:23.939921000 Eastern Standard Time","58220","8081",
"201","Dec  2, 2017 12:44:23.939965000 Eastern Standard Time","58220","8081",
"202","Dec  2, 2017 12:44:24.104829000 Eastern Standard Time","8081","58220",
"203","Dec  2, 2017 12:44:24.294134000 Eastern Standard Time","58220","8081",
"204","Dec  2, 2017 12:44:24.294250000 Eastern Standard Time","58220","8081",
"205","Dec  2, 2017 12:44:24.295189000 Eastern Standard Time","8081","58220",
"206","Dec  2, 2017 12:44:24.369512000 Eastern Standard Time","8081","58220",
"207","Dec  2, 2017 12:44:24.375783000 Eastern Standard Time","8081","58220",
"208","Dec  2, 2017 12:44:24.579241000 Eastern Standard Time","58220","8081",
"209","Dec  2, 2017 12:44:24.579295000 Eastern Standard Time","58220","8081",
"210","Dec  2, 2017 12:44:24.579594000 Eastern Standard Time","8081","58220",
"211","Dec  2, 2017 12:44:24.579708000 Eastern Standard Time","8081","58220",
"212","Dec  2, 2017 12:44:24.762057000 Eastern Standard Time","58220","8081",
"213","Dec  2, 2017 12:44:24.762630000 Eastern Standard Time","58220","8081",
"214","Dec  2, 2017 12:44:24.762815000 Eastern Standard Time","8081","58220",
"215","Dec  2, 2017 12:44:25.008176000 Eastern Standard Time","58220","8081",
"216","Dec  2, 2017 12:44:25.008216000 Eastern Standard Time","58220","8081",
"217","Dec  2, 2017 12:44:25.008497000 Eastern Standard Time","8081","58220",
"218","Dec  2, 2017 12:44:25.041205000 Eastern Standard Time","8081","58220",
"219","Dec  2, 2017 12:44:25.041582000 Eastern Standard Time","8081","58220",
"220","Dec  2, 2017 12:44:25.277863000 Eastern Standard Time","58220","8081",
"221","Dec  2, 2017 12:44:25.277985000 Eastern Standard Time","58220","8081",
"222","Dec  2, 2017 12:44:25.278080000 Eastern Standard Time","58220","8081",
"223","Dec  2, 2017 12:44:25.278201000 Eastern Standard Time","58220","8081",
"224","Dec  2, 2017 12:44:25.278609000 Eastern Standard Time","8081","58220",
"225","Dec  2, 2017 12:44:25.278640000 Eastern Standard Time","8081","58220",
"226","Dec  2, 2017 12:44:25.278684000 Eastern Standard Time","8081","58220",
"227","Dec  2, 2017 12:44:25.512608000 Eastern Standard Time","58220","8081",
"228","Dec  2, 2017 12:44:25.512897000 Eastern Standard Time","58220","8081",
"229","Dec  2, 2017 12:44:25.513005000 Eastern Standard Time","8081","58220",
"230","Dec  2, 2017 12:44:25.513046000 Eastern Standard Time","58220","8081",
"231","Dec  2, 2017 12:44:25.513430000 Eastern Standard Time","8081","58220",
"232","Dec  2, 2017 12:44:25.759395000 Eastern Standard Time","58220","8081",
"233","Dec  2, 2017 12:44:25.760053000 Eastern Standard Time","58220","8081",
"234","Dec  2, 2017 12:44:25.760258000 Eastern Standard Time","58220","8081",
"235","Dec  2, 2017 12:44:25.762502000 Eastern Standard Time","58220","8081",
"236","Dec  2, 2017 12:44:25.795555000 Eastern Standard Time","8081","58220",
"237","Dec  2, 2017 12:44:25.795831000 Eastern Standard Time","8081","58220",
"238","Dec  2, 2017 12:44:26.016528000 Eastern Standard Time","58220","8081",
"239","Dec  2, 2017 12:44:26.016850000 Eastern Standard Time","58220","8081",
"240","Dec  2, 2017 12:44:26.017126000 Eastern Standard Time","8081","58220",
"241","Dec  2, 2017 12:44:26.017282000 Eastern Standard Time","8081","58220",
"242","Dec  2, 2017 12:44:26.285333000 Eastern Standard Time","58220","8081",
"243","Dec  2, 2017 12:44:26.285416000 Eastern Standard Time","58220","8081",
"244","Dec  2, 2017 12:44:26.287095000 Eastern Standard Time","58220","8081",
"245","Dec  2, 2017 12:44:26.309537000 Eastern Standard Time","8081","58220",
"246","Dec  2, 2017 12:44:26.310278000 Eastern Standard Time","8081","58220",
"247","Dec  2, 2017 12:44:26.553790000 Eastern Standard Time","58220","8081",
"248","Dec  2, 2017 12:44:26.553983000 Eastern Standard Time","58220","8081",
"249","Dec  2, 2017 12:44:26.554278000 Eastern Standard Time","8081","58220",
"250","Dec  2, 2017 12:44:26.554435000 Eastern Standard Time","8081","58220",
"251","Dec  2, 2017 12:44:26.770487000 Eastern Standard Time","58220","8081",
"252","Dec  2, 2017 12:44:26.770619000 Eastern Standard Time","58220","8081",
"253","Dec  2, 2017 12:44:26.779160000 Eastern Standard Time","58220","8081",
"254","Dec  2, 2017 12:44:26.813956000 Eastern Standard Time","8081","58220",
"255","Dec  2, 2017 12:44:26.814317000 Eastern Standard Time","8081","58220",
"256","Dec  2, 2017 12:44:27.032178000 Eastern Standard Time","58220","8081",
"257","Dec  2, 2017 12:44:27.032305000 Eastern Standard Time","58220","8081",
"258","Dec  2, 2017 12:44:27.032424000 Eastern Standard Time","58220","8081",
"259","Dec  2, 2017 12:44:27.032591000 Eastern Standard Time","8081","58220",
"260","Dec  2, 2017 12:44:27.032845000 Eastern Standard Time","8081","58220",
"261","Dec  2, 2017 12:44:27.034235000 Eastern Standard Time","58220","8081",
"262","Dec  2, 2017 12:44:27.034316000 Eastern Standard Time","58220","8081",
"263","Dec  2, 2017 12:44:27.034680000 Eastern Standard Time","8081","58220",
"264","Dec  2, 2017 12:44:27.035053000 Eastern Standard Time","8081","58220",
"265","Dec  2, 2017 12:44:27.254083000 Eastern Standard Time","58220","8081",
"266","Dec  2, 2017 12:44:27.254628000 Eastern Standard Time","8081","58220",
"267","Dec  2, 2017 12:44:27.477311000 Eastern Standard Time","58220","8081",
"268","Dec  2, 2017 12:44:27.477721000 Eastern Standard Time","8081","58220",
"269","Dec  2, 2017 12:44:27.477872000 Eastern Standard Time","8081","58220",
"270","Dec  2, 2017 12:44:27.700847000 Eastern Standard Time","58220","8081",
"271","Dec  2, 2017 12:44:27.700927000 Eastern Standard Time","58220","8081",
"272","Dec  2, 2017 12:44:27.701305000 Eastern Standard Time","8081","58220",
"273","Dec  2, 2017 12:44:27.958556000 Eastern Standard Time","58220","8081",
"274","Dec  2, 2017 12:44:27.959744000 Eastern Standard Time","58220","8081",
"275","Dec  2, 2017 12:44:28.000135000 Eastern Standard Time","8081","58220",
"276","Dec  2, 2017 12:44:28.064167000 Eastern Standard Time","8081","58220",
"277","Dec  2, 2017 12:44:28.064584000 Eastern Standard Time","8081","58220",
"278","Dec  2, 2017 12:44:28.289919000 Eastern Standard Time","58220","8081",
"279","Dec  2, 2017 12:44:28.290451000 Eastern Standard Time","8081","58220",
"280","Dec  2, 2017 12:44:28.321936000 Eastern Standard Time","58220","8081",
"281","Dec  2, 2017 12:44:28.322302000 Eastern Standard Time","8081","58220",
"282","Dec  2, 2017 12:44:28.476031000 Eastern Standard Time","58220","8081",
"283","Dec  2, 2017 12:44:28.476463000 Eastern Standard Time","8081","58220",
"284","Dec  2, 2017 12:44:28.477995000 Eastern Standard Time","58220","8081",
"285","Dec  2, 2017 12:44:28.478429000 Eastern Standard Time","8081","58220",
"286","Dec  2, 2017 12:44:28.523829000 Eastern Standard Time","58220","8081",
"287","Dec  2, 2017 12:44:28.524389000 Eastern Standard Time","8081","58220",
"288","Dec  2, 2017 12:44:28.698741000 Eastern Standard Time","58220","8081",
"289","Dec  2, 2017 12:44:28.699144000 Eastern Standard Time","8081","58220",
"290","Dec  2, 2017 12:44:28.708151000 Eastern Standard Time","58220","8081",
"291","Dec  2, 2017 12:44:28.745962000 Eastern Standard Time","58220","8081",
"292","Dec  2, 2017 12:44:28.927078000 Eastern Standard Time","58220","8081",
"293","Dec  2, 2017 12:44:28.928539000 Eastern Standard Time","58220","8081",
"294","Dec  2, 2017 12:44:28.928922000 Eastern Standard Time","8081","58220",
"295","Dec  2, 2017 12:44:28.973223000 Eastern Standard Time","8081","58220",
"296","Dec  2, 2017 12:44:28.973397000 Eastern Standard Time","8081","58220",
"297","Dec  2, 2017 12:44:29.211740000 Eastern Standard Time","58220","8081",
"298","Dec  2, 2017 12:44:29.211829000 Eastern Standard Time","58220","8081",
"299","Dec  2, 2017 12:44:29.212306000 Eastern Standard Time","8081","58220",
"300","Dec  2, 2017 12:44:29.212443000 Eastern Standard Time","8081","58220",
"301","Dec  2, 2017 12:44:29.417373000 Eastern Standard Time","58220","8081",
"302","Dec  2, 2017 12:44:29.417495000 Eastern Standard Time","58220","8081",
"303","Dec  2, 2017 12:44:29.417813000 Eastern Standard Time","8081","58220",
"304","Dec  2, 2017 12:44:29.673727000 Eastern Standard Time","58220","8081",
"305","Dec  2, 2017 12:44:29.675320000 Eastern Standard Time","58220","8081",
"306","Dec  2, 2017 12:44:29.675765000 Eastern Standard Time","8081","58220",
"307","Dec  2, 2017 12:44:29.710605000 Eastern Standard Time","8081","58220",
"308","Dec  2, 2017 12:44:29.710652000 Eastern Standard Time","8081","58220",
"309","Dec  2, 2017 12:44:29.950377000 Eastern Standard Time","58220","8081",
"310","Dec  2, 2017 12:44:29.950460000 Eastern Standard Time","58220","8081",
"311","Dec  2, 2017 12:44:29.950824000 Eastern Standard Time","8081","58220",
"312","Dec  2, 2017 12:44:30.190619000 Eastern Standard Time","58220","8081",
"313","Dec  2, 2017 12:44:30.190710000 Eastern Standard Time","58220","8081",
"314","Dec  2, 2017 12:44:30.194998000 Eastern Standard Time","58220","8081",
"315","Dec  2, 2017 12:44:30.236781000 Eastern Standard Time","8081","58220",
"316","Dec  2, 2017 12:44:30.238214000 Eastern Standard Time","8081","58220",
"317","Dec  2, 2017 12:44:30.238489000 Eastern Standard Time","8081","58220",
"318","Dec  2, 2017 12:44:30.238703000 Eastern Standard Time","8081","58220",
"319","Dec  2, 2017 12:44:30.489757000 Eastern Standard Time","58220","8081",
"320","Dec  2, 2017 12:44:30.489964000 Eastern Standard Time","58220","8081",
"321","Dec  2, 2017 12:44:30.490080000 Eastern Standard Time","58220","8081",
"322","Dec  2, 2017 12:44:30.490808000 Eastern Standard Time","8081","58220",
"323","Dec  2, 2017 12:44:30.741275000 Eastern Standard Time","58220","8081",
"324","Dec  2, 2017 12:44:30.743552000 Eastern Standard Time","58220","8081",
"325","Dec  2, 2017 12:44:30.748917000 Eastern Standard Time","58220","8081",
"326","Dec  2, 2017 12:44:30.749551000 Eastern Standard Time","8081","58220",
"327","Dec  2, 2017 12:44:30.799853000 Eastern Standard Time","8081","58220",
"328","Dec  2, 2017 12:44:30.800102000 Eastern Standard Time","8081","58220",
"329","Dec  2, 2017 12:44:30.800305000 Eastern Standard Time","8081","58220",
"330","Dec  2, 2017 12:44:31.050796000 Eastern Standard Time","58220","8081",
"331","Dec  2, 2017 12:44:31.050951000 Eastern Standard Time","58220","8081",
"332","Dec  2, 2017 12:44:31.051357000 Eastern Standard Time","8081","58220",
"333","Dec  2, 2017 12:44:31.240118000 Eastern Standard Time","8081","58220",
"334","Dec  2, 2017 12:44:31.284861000 Eastern Standard Time","58220","8081",
"335","Dec  2, 2017 12:44:31.285362000 Eastern Standard Time","8081","58220",
"336","Dec  2, 2017 12:44:31.470189000 Eastern Standard Time","58220","8081",
"337","Dec  2, 2017 12:44:31.473534000 Eastern Standard Time","8081","58220",
"338","Dec  2, 2017 12:44:31.527665000 Eastern Standard Time","58220","8081",
"339","Dec  2, 2017 12:44:31.528070000 Eastern Standard Time","8081","58220",
"340","Dec  2, 2017 12:44:31.528145000 Eastern Standard Time","8081","58220",
"341","Dec  2, 2017 12:44:31.670747000 Eastern Standard Time","58220","8081",
"342","Dec  2, 2017 12:44:31.671040000 Eastern Standard Time","8081","58220",
"343","Dec  2, 2017 12:44:31.674295000 Eastern Standard Time","58220","8081",
"344","Dec  2, 2017 12:44:31.737097000 Eastern Standard Time","58220","8081",
"345","Dec  2, 2017 12:44:31.737152000 Eastern Standard Time","58220","8081",
"346","Dec  2, 2017 12:44:31.874576000 Eastern Standard Time","58220","8081",
"347","Dec  2, 2017 12:44:31.875346000 Eastern Standard Time","58220","8081",
"348","Dec  2, 2017 12:44:31.876079000 Eastern Standard Time","8081","58220",
